+-------+------------------+--------------------+----------------+----------+---------+-----------+---------+---------+--------------------+------------------+
| Epoch | Machine Training | Discriminator Loss | Generator Loss | Accuracy |   FPR   | Precision |  Recall |    F1   | Median Wasserstein | Mean Wasserstein |
|   25  |    Generator     |       0.557        |     0.699      |  0.702   |  0.564  |   0.632   |  0.968  |  0.764  |       0.410        |      0.407       |
|   26  |    Generator     |       0.557        |     0.615      |  0.574   |  0.804  |   0.542   |  0.952  |  0.690  |       0.400        |      0.402       |
|   27  |  Discriminator   |       0.620        |     0.615      |  0.648   |  0.672  |   0.590   |  0.968  |  0.733  |       0.403        |      0.403       |
|   28  |  Discriminator   |       0.611        |     0.615      |  0.680   |  0.548  |   0.624   |  0.908  |  0.739  |       0.402        |      0.405       |
|   29  |  Discriminator   |       0.581        |     0.615      |  0.754   |  0.388  |   0.698   |  0.896  |  0.784  |       0.404        |      0.401       |
|   30  |  Discriminator   |       0.559        |     0.615      |  0.834   |  0.236  |   0.793   |  0.904  |  0.844  |       0.401        |      0.402       |
|   31  |    Generator     |       0.559        |     0.699      |  0.676   |  0.540  |   0.623   |  0.892  |  0.733  |       0.400        |      0.400       |
|   32  |    Generator     |       0.559        |     0.605      |  0.522   |  0.848  |   0.513   |  0.892  |  0.651  |       0.402        |      0.406       |
|   33  |  Discriminator   |       0.633        |     0.605      |  0.606   |  0.712  |   0.565   |  0.924  |  0.701  |       0.398        |      0.404       |
|   34  |  Discriminator   |       0.612        |     0.605      |  0.672   |  0.512  |   0.626   |  0.856  |  0.722  |       0.401        |      0.403       |
|   35  |  Discriminator   |       0.567        |     0.605      |  0.798   |  0.248  |   0.773   |  0.844  |  0.806  |       0.414        |      0.412       |
|   36  |    Generator     |       0.567        |     0.667      |  0.584   |  0.624  |   0.559   |  0.792  |  0.655  |       0.405        |      0.406       |
|   37  |    Generator     |       0.567        |     0.552      |  0.480   |  0.840  |   0.488   |  0.800  |  0.606  |       0.405        |      0.409       |
|   38  |  Discriminator   |       0.679        |     0.552      |  0.556   |  0.724  |   0.536   |  0.836  |  0.653  |       0.415        |      0.418       |
|   39  |  Discriminator   |       0.632        |     0.552      |  0.628   |  0.524  |   0.598   |  0.780  |  0.677  |       0.406        |      0.415       |
|   40  |  Discriminator   |       0.619        |     0.552      |  0.728   |  0.272  |   0.728   |  0.728  |  0.728  |       0.409        |      0.415       |
|   1   |  Discriminator   |      0.68969       |    0.56022     | 0.49200  | 0.74800 |  0.49459  | 0.73200 | 0.58984 |      0.49122       |     0.49942      |
|   2   |  Discriminator   |      0.66704       |    0.56022     | 0.59600  | 0.58800 |  0.57018  | 0.78000 | 0.65830 |      0.49167       |     0.49797      |
|   3   |  Discriminator   |      0.64116       |    0.56022     | 0.63600  | 0.52400 |  0.60303  | 0.79600 | 0.68572 |      0.48561       |     0.49687      |
|   4   |  Discriminator   |      0.61022       |    0.56022     | 0.66600  | 0.42800 |  0.63973  | 0.76000 | 0.69420 |      0.48475       |     0.49532      |
|   5   |  Discriminator   |      0.57431       |    0.56022     | 0.75200  | 0.29600 |  0.72993  | 0.80000 | 0.76286 |      0.49205       |     0.50628      |
|   6   |    Generator     |      0.57431       |    0.69311     | 0.63600  | 0.50400 |  0.60625  | 0.77600 | 0.68021 |      0.49157       |     0.50174      |
|   7   |    Generator     |      0.57431       |    0.60035     | 0.52400  | 0.73600 |  0.51579  | 0.78400 | 0.62174 |      0.47652       |     0.51434      |
|   8   |  Discriminator   |      0.64700       |    0.60035     | 0.58800  | 0.63200 |  0.56111  | 0.80800 | 0.66181 |      0.47224       |     0.51864      |
|   9   |  Discriminator   |      0.63354       |    0.60035     | 0.63600  | 0.52800 |  0.60241  | 0.80000 | 0.68680 |      0.47619       |     0.51883      |
|   10  |  Discriminator   |      0.59272       |    0.60035     | 0.71000  | 0.37200 |  0.68041  | 0.79200 | 0.73148 |      0.46914       |     0.52032      |
|   11  |  Discriminator   |      0.57587       |    0.60035     | 0.74200  | 0.26800 |  0.73725  | 0.75200 | 0.74405 |      0.46666       |     0.51946      |
|   12  |    Generator     |      0.57587       |    0.71383     | 0.65800  | 0.46000 |  0.62783  | 0.77600 | 0.69360 |      0.47949       |     0.52766      |
|   13  |    Generator     |      0.57587       |    0.62154     | 0.56200  | 0.66800 |  0.54247  | 0.79200 | 0.64342 |      0.51477       |     0.54008      |
|   14  |    Generator     |      0.57587       |    0.55356     | 0.49800  | 0.78800 |  0.49873  | 0.78400 | 0.60917 |      0.51203       |     0.55198      |
|   15  |  Discriminator   |      0.70578       |    0.55356     | 0.53400  | 0.68800 |  0.52355  | 0.75600 | 0.61817 |      0.51592       |     0.55510      |
|   16  |  Discriminator   |      0.65084       |    0.55356     | 0.60200  | 0.56000 |  0.57704  | 0.76400 | 0.65700 |      0.51119       |     0.55248      |
|   17  |  Discriminator   |      0.63147       |    0.55356     | 0.65200  | 0.43200 |  0.63014  | 0.73600 | 0.67847 |      0.52279       |     0.55685      |
|   18  |  Discriminator   |      0.58754       |    0.55356     | 0.71800  | 0.28400 |  0.71713  | 0.72000 | 0.71806 |      0.51665       |     0.55308      |
|   19  |  Discriminator   |      0.57311       |    0.55356     | 0.78200  | 0.16000 |  0.81900  | 0.72400 | 0.76808 |      0.50622       |     0.55194      |
|   20  |  Discriminator   |      0.55236       |    0.55356     | 0.81800  | 0.10000 |  0.88038  | 0.73600 | 0.80125 |      0.50846       |     0.55093      |
|   21  |  Discriminator   |      0.52281       |    0.55356     | 0.83800  | 0.05600 |  0.92893  | 0.73200 | 0.81830 |      0.51502       |     0.55533      |
|   22  |  Discriminator   |      0.49226       |    0.55356     | 0.85200  | 0.06800 |  0.91905  | 0.77200 | 0.83863 |      0.50780       |     0.55326      |
|   23  |    Generator     |      0.49226       |    0.91404     | 0.81600  | 0.12000 |  0.86239  | 0.75200 | 0.80292 |      0.52358       |     0.56107      |
|   24  |    Generator     |      0.49226       |    0.82518     | 0.74400  | 0.29200 |  0.72761  | 0.78000 | 0.75240 |      0.53119       |     0.56257      |
|   25  |    Generator     |      0.49226       |    0.72106     | 0.63000  | 0.47200 |  0.60797  | 0.73200 | 0.66375 |      0.52927       |     0.56115      |
|   26  |    Generator     |      0.49226       |    0.62249     | 0.56200  | 0.63200 |  0.54467  | 0.75600 | 0.63268 |      0.52191       |     0.56597      |
|   27  |    Generator     |      0.49226       |    0.52257     | 0.53200  | 0.68400 |  0.52235  | 0.74800 | 0.61465 |      0.53090       |     0.56957      |
|   28  |    Generator     |      0.49226       |    0.46629     | 0.48800  | 0.78800 |  0.49227  | 0.76400 | 0.59827 |      0.54211       |     0.58151      |
|   29  |  Discriminator   |      0.82357       |    0.46629     | 0.48000  | 0.80400 |  0.48724  | 0.76400 | 0.59454 |      0.53693       |     0.58589      |
|   30  |  Discriminator   |      0.76276       |    0.46629     | 0.52800  | 0.66400 |  0.52023  | 0.72000 | 0.60354 |      0.54315       |     0.58579      |
|   31  |  Discriminator   |      0.69859       |    0.46629     | 0.55400  | 0.62400 |  0.53982  | 0.73200 | 0.62090 |      0.55204       |     0.59270      |
|   32  |  Discriminator   |      0.66687       |    0.46629     | 0.64200  | 0.42800 |  0.62456  | 0.71200 | 0.66492 |      0.54650       |     0.58564      |
|   33  |  Discriminator   |      0.63203       |    0.46629     | 0.67800  | 0.30400 |  0.68465  | 0.66000 | 0.67160 |      0.54112       |     0.58485      |
|   34  |  Discriminator   |      0.60736       |    0.46629     | 0.69800  | 0.20000 |  0.74874  | 0.59600 | 0.66320 |      0.54571       |     0.58880      |
|   35  |  Discriminator   |      0.60210       |    0.46629     | 0.69800  | 0.20400 |  0.74627  | 0.60000 | 0.66469 |      0.53783       |     0.58461      |
|   36  |  Discriminator   |      0.56428       |    0.46629     | 0.77800  | 0.14400 |  0.82938  | 0.70000 | 0.75872 |      0.54349       |     0.58552      |
|   37  |  Discriminator   |      0.55427       |    0.46629     | 0.74400  | 0.12800 |  0.82796  | 0.61600 | 0.70593 |      0.54516       |     0.58568      |
|   38  |  Discriminator   |      0.54295       |    0.46629     | 0.76600  | 0.16800 |  0.80645  | 0.70000 | 0.74897 |      0.53852       |     0.58357      |
|   39  |  Discriminator   |      0.52750       |    0.46629     | 0.76800  | 0.13200 |  0.83500  | 0.66800 | 0.74173 |      0.53499       |     0.58246      |
|   40  |  Discriminator   |      0.49929       |    0.46629     | 0.81400  | 0.09600 |  0.88293  | 0.72400 | 0.79511 |      0.54338       |     0.58505      |
|   41  |  Discriminator   |      0.47297       |    0.46629     | 0.83800  | 0.10400 |  0.88235  | 0.78000 | 0.82753 |      0.53600       |     0.58295      |
|   42  |    Generator     |      0.47297       |    1.04062     | 0.84000  | 0.16400 |  0.83730  | 0.84400 | 0.84014 |      0.54855       |     0.58846      |
|   43  |    Generator     |      0.47297       |    0.90894     | 0.72600  | 0.30400 |  0.71321  | 0.75600 | 0.73348 |      0.54078       |     0.58227      |
|   44  |    Generator     |      0.47297       |    0.76811     | 0.68200  | 0.44000 |  0.64630  | 0.80400 | 0.71608 |      0.56118       |     0.58445      |
|   45  |    Generator     |      0.47297       |    0.64800     | 0.56800  | 0.64400 |  0.54775  | 0.78000 | 0.64308 |      0.56777       |     0.57863      |
|   46  |    Generator     |      0.47297       |    0.53159     | 0.53400  | 0.71600 |  0.52267  | 0.78400 | 0.62672 |      0.57297       |     0.58775      |
|   47  |  Discriminator   |      0.81692       |    0.53159     | 0.52800  | 0.69200 |  0.51944  | 0.74800 | 0.61263 |      0.57019       |     0.59093      |
|   48  |  Discriminator   |      0.73826       |    0.53159     | 0.58000  | 0.57600 |  0.56098  | 0.73600 | 0.63619 |      0.56854       |     0.58683      |
|   49  |  Discriminator   |      0.67217       |    0.53159     | 0.62800  | 0.43600 |  0.61348  | 0.69200 | 0.64988 |      0.57017       |     0.59194      |
|   50  |  Discriminator   |      0.62563       |    0.53159     | 0.69000  | 0.31200 |  0.68924  | 0.69200 | 0.69012 |      0.57302       |     0.58852      |
|   51  |  Discriminator   |      0.60565       |    0.53159     | 0.68200  | 0.29200 |  0.69198  | 0.65600 | 0.67301 |      0.56882       |     0.58807      |
|   52  |  Discriminator   |      0.58513       |    0.53159     | 0.72600  | 0.24800 |  0.73840  | 0.70000 | 0.71819 |      0.56770       |     0.59165      |
|   53  |  Discriminator   |      0.56241       |    0.53159     | 0.71800  | 0.24400 |  0.73593  | 0.68000 | 0.70636 |      0.56818       |     0.58506      |
|   54  |  Discriminator   |      0.54362       |    0.53159     | 0.74400  | 0.24400 |  0.75000  | 0.73200 | 0.74039 |      0.56495       |     0.58871      |
|   55  |  Discriminator   |      0.52502       |    0.53159     | 0.74000  | 0.24400 |  0.74793  | 0.72400 | 0.73527 |      0.57169       |     0.58899      |
|   56  |  Discriminator   |      0.50968       |    0.53159     | 0.80000  | 0.18800 |  0.80738  | 0.78800 | 0.79707 |      0.56704       |     0.58902      |
|   57  |    Generator     |      0.50968       |    1.08701     | 0.77800  | 0.26000 |  0.75836  | 0.81600 | 0.78563 |      0.56267       |     0.59505      |
|   58  |    Generator     |      0.50968       |    0.87855     | 0.66000  | 0.43600 |  0.63423  | 0.75600 | 0.68929 |      0.56011       |     0.59694      |
|   59  |    Generator     |      0.50968       |    0.68696     | 0.59800  | 0.58400 |  0.57185  | 0.78000 | 0.65941 |      0.55911       |     0.60308      |
|   60  |    Generator     |      0.50968       |    0.51094     | 0.46000  | 0.82400 |  0.47449  | 0.74400 | 0.57896 |      0.59102       |     0.61235      |
|   61  |  Discriminator   |      0.78408       |    0.51094     | 0.52400  | 0.74400 |  0.51562  | 0.79200 | 0.62413 |      0.58801       |     0.61528      |
|   62  |  Discriminator   |      0.72417       |    0.51094     | 0.56400  | 0.60400 |  0.54790  | 0.73200 | 0.62622 |      0.59540       |     0.61283      |
|   63  |  Discriminator   |      0.64893       |    0.51094     | 0.60600  | 0.50800 |  0.58632  | 0.72000 | 0.64583 |      0.59030       |     0.61299      |
|   64  |  Discriminator   |      0.60649       |    0.51094     | 0.69600  | 0.34800 |  0.68015  | 0.74000 | 0.70831 |      0.59070       |     0.61635      |
|   65  |  Discriminator   |      0.60113       |    0.51094     | 0.68200  | 0.31200 |  0.68421  | 0.67600 | 0.67958 |      0.58748       |     0.61471      |
|   66  |  Discriminator   |      0.56062       |    0.51094     | 0.72000  | 0.25600 |  0.73109  | 0.69600 | 0.71262 |      0.58936       |     0.61381      |
|   67  |  Discriminator   |      0.55078       |    0.51094     | 0.74200  | 0.23200 |  0.75527  | 0.71600 | 0.73461 |      0.58374       |     0.61262      |
|   68  |  Discriminator   |      0.51412       |    0.51094     | 0.77600  | 0.16800 |  0.81081  | 0.72000 | 0.76221 |      0.59389       |     0.61213      |
|   69  |  Discriminator   |      0.49717       |    0.51094     | 0.83600  | 0.08400 |  0.90000  | 0.75600 | 0.82124 |      0.59809       |     0.61558      |
|   70  |    Generator     |      0.49717       |    1.13846     | 0.79800  | 0.20000 |  0.79920  | 0.79600 | 0.79710 |      0.60019       |     0.62092      |
|   71  |    Generator     |      0.49717       |    0.85411     | 0.68800  | 0.45200 |  0.64687  | 0.82800 | 0.72582 |      0.60823       |     0.61961      |
|   72  |    Generator     |      0.49717       |    0.59819     | 0.48800  | 0.79600 |  0.49235  | 0.77200 | 0.60077 |      0.59372       |     0.61711      |
|   73  |  Discriminator   |      0.72756       |    0.59819     | 0.50800  | 0.72000 |  0.50549  | 0.73600 | 0.59887 |      0.59464       |     0.62577      |
|   74  |  Discriminator   |      0.63971       |    0.59819     | 0.60400  | 0.51200 |  0.58442  | 0.72000 | 0.64467 |      0.59348       |     0.62386      |
|   75  |  Discriminator   |      0.59532       |    0.59819     | 0.71600  | 0.26800 |  0.72314  | 0.70000 | 0.71088 |      0.59534       |     0.62168      |
|   76  |  Discriminator   |      0.55351       |    0.59819     | 0.79000  | 0.09600 |  0.87565  | 0.67600 | 0.76249 |      0.59020       |     0.62272      |
|   77  |  Discriminator   |      0.51649       |    0.59819     | 0.81200  | 0.06400 |  0.91489  | 0.68800 | 0.78490 |      0.58452       |     0.61338      |
|   78  |  Discriminator   |      0.49958       |    0.59819     | 0.83200  | 0.02800 |  0.96111  | 0.69200 | 0.80416 |      0.59658       |     0.61875      |
|   79  |  Discriminator   |      0.48133       |    0.59819     | 0.85800  | 0.00400 |  0.99448  | 0.72000 | 0.83478 |      0.58968       |     0.61493      |
|   80  |  Discriminator   |      0.44176       |    0.59819     | 0.87600  | 0.03200 |  0.96078  | 0.78400 | 0.86294 |      0.60035       |     0.62351      |
|   81  |    Generator     |      0.44176       |    1.19429     | 0.84000  | 0.12000 |  0.86957  | 0.80000 | 0.83283 |      0.58535       |     0.60967      |
|   82  |    Generator     |      0.44176       |    0.78950     | 0.57600  | 0.58400 |  0.55758  | 0.73600 | 0.63399 |      0.55596       |     0.60299      |
|   83  |    Generator     |      0.44176       |    0.51579     | 0.45800  | 0.84400 |  0.47382  | 0.76000 | 0.58324 |      0.51387       |     0.58069      |
|   84  |  Discriminator   |      0.79317       |    0.51579     | 0.48200  | 0.80800 |  0.48861  | 0.77200 | 0.59798 |      0.52488       |     0.57972      |
|   85  |  Discriminator   |      0.73457       |    0.51579     | 0.56000  | 0.66800 |  0.54121  | 0.78800 | 0.64121 |      0.52319       |     0.58188      |
|   86  |  Discriminator   |      0.68176       |    0.51579     | 0.58600  | 0.50000 |  0.57338  | 0.67200 | 0.61829 |      0.52166       |     0.57219      |
|   87  |  Discriminator   |      0.61980       |    0.51579     | 0.66200  | 0.32800 |  0.66531  | 0.65200 | 0.65809 |      0.52208       |     0.57570      |
|   88  |  Discriminator   |      0.55147       |    0.51579     | 0.76200  | 0.11600 |  0.84656  | 0.64000 | 0.72844 |      0.51975       |     0.57360      |
|   89  |  Discriminator   |      0.51791       |    0.51579     | 0.78000  | 0.04000 |  0.93750  | 0.60000 | 0.73123 |      0.53316       |     0.57609      |
|   90  |  Discriminator   |      0.49802       |    0.51579     | 0.79600  | 0.02800 |  0.95679  | 0.62000 | 0.75195 |      0.52466       |     0.57702      |
|   91  |  Discriminator   |      0.46495       |    0.51579     | 0.81800  | 0.02000 |  0.97041  | 0.65600 | 0.78234 |      0.53335       |     0.57860      |
|   92  |  Discriminator   |      0.41454       |    0.51579     | 0.89200  | 0.01600 |  0.98039  | 0.80000 | 0.88056 |      0.53678       |     0.57895      |
|   93  |    Generator     |      0.41454       |    1.23939     | 0.79400  | 0.14400 |  0.83562  | 0.73200 | 0.77989 |      0.53263       |     0.57047      |
|   94  |    Generator     |      0.41454       |    0.83193     | 0.59800  | 0.56000 |  0.57447  | 0.75600 | 0.65236 |      0.53139       |     0.55685      |
|   95  |    Generator     |      0.41454       |    0.52571     | 0.45200  | 0.84000 |  0.46970  | 0.74400 | 0.57538 |      0.50303       |     0.55432      |
|   96  |  Discriminator   |      0.77620       |    0.52571     | 0.47800  | 0.79600 |  0.48579  | 0.75200 | 0.58979 |      0.48986       |     0.55401      |
|   97  |  Discriminator   |      0.69457       |    0.52571     | 0.60400  | 0.55600 |  0.57879  | 0.76400 | 0.65813 |      0.50385       |     0.55893      |
|   98  |  Discriminator   |      0.59711       |    0.52571     | 0.68000  | 0.32000 |  0.68000  | 0.68000 | 0.67950 |      0.49718       |     0.55651      |
|   99  |  Discriminator   |      0.51372       |    0.52571     | 0.74400  | 0.12800 |  0.82796  | 0.61600 | 0.70593 |      0.50913       |     0.56152      |
|  100  |  Discriminator   |      0.46992       |    0.52571     | 0.75200  | 0.06800 |  0.89375  | 0.57200 | 0.69709 |      0.49858       |     0.55867      |
|  101  |  Discriminator   |      0.44151       |    0.52571     | 0.77600  | 0.02800 |  0.95395  | 0.58000 | 0.72092 |      0.49678       |     0.55877      |
|  102  |  Discriminator   |      0.41124       |    0.52571     | 0.82200  | 0.05600 |  0.92593  | 0.70000 | 0.79678 |      0.49945       |     0.56372      |
|  103  |  Discriminator   |      0.36519       |    0.52571     | 0.85800  | 0.05600 |  0.93237  | 0.77200 | 0.84414 |      0.48975       |     0.56226      |
|  104  |    Generator     |      0.36519       |    1.82142     | 0.79800  | 0.14800 |  0.83408  | 0.74400 | 0.78597 |      0.50948       |     0.55591      |
|  105  |    Generator     |      0.36519       |    1.23450     | 0.69600  | 0.34800 |  0.68015  | 0.74000 | 0.70831 |      0.49132       |     0.54104      |
|  106  |    Generator     |      0.36519       |    0.70154     | 0.58200  | 0.64400 |  0.55647  | 0.80800 | 0.65857 |      0.48331       |     0.54493      |
|  107  |    Generator     |      0.36519       |    0.45037     | 0.46800  | 0.88400 |  0.48122  | 0.82000 | 0.60604 |      0.49546       |     0.53715      |
|  108  |  Discriminator   |      0.81720       |    0.45037     | 0.48000  | 0.88000 |  0.48837  | 0.84000 | 0.61718 |      0.51652       |     0.54515      |
|  109  |  Discriminator   |      0.71590       |    0.45037     | 0.54600  | 0.68800 |  0.53134  | 0.78000 | 0.63161 |      0.52585       |     0.54693      |
|  110  |  Discriminator   |      0.60365       |    0.45037     | 0.68000  | 0.33600 |  0.67442  | 0.69600 | 0.68454 |      0.52616       |     0.54527      |
|  111  |  Discriminator   |      0.51025       |    0.45037     | 0.76000  | 0.13600 |  0.82828  | 0.65600 | 0.73165 |      0.50092       |     0.54351      |
|  112  |  Discriminator   |      0.47643       |    0.45037     | 0.74600  | 0.10400 |  0.85143  | 0.59600 | 0.70069 |      0.51426       |     0.54185      |
|  113  |  Discriminator   |      0.45145       |    0.45037     | 0.77600  | 0.05600 |  0.91566  | 0.60800 | 0.73029 |      0.50933       |     0.53985      |
|  114  |  Discriminator   |      0.39485       |    0.45037     | 0.81400  | 0.05600 |  0.92432  | 0.68400 | 0.78572 |      0.51217       |     0.54382      |
|  115  |  Discriminator   |      0.37633       |    0.45037     | 0.87000  | 0.06800 |  0.92237  | 0.80800 | 0.86091 |      0.51083       |     0.54008      |
|  116  |    Generator     |      0.37633       |    1.98128     | 0.80400  | 0.14400 |  0.83929  | 0.75200 | 0.79275 |      0.51868       |     0.54153      |
|  117  |    Generator     |      0.37633       |    1.32310     | 0.68600  | 0.42400 |  0.65246  | 0.79600 | 0.71662 |      0.50296       |     0.52903      |
|  118  |    Generator     |      0.37633       |    0.82920     | 0.52200  | 0.70400 |  0.51515  | 0.74800 | 0.60963 |      0.48969       |     0.51365      |
|  119  |  Discriminator   |      0.64489       |    0.82920     | 0.57600  | 0.67200 |  0.55080  | 0.82400 | 0.65978 |      0.49891       |     0.50959      |
|  120  |  Discriminator   |      0.59660       |    0.82920     | 0.62400  | 0.54800 |  0.59226  | 0.79600 | 0.67869 |      0.51287       |     0.51766      |
|  121  |  Discriminator   |      0.51216       |    0.82920     | 0.74200  | 0.31200 |  0.71841  | 0.79600 | 0.75472 |      0.50923       |     0.51473      |
|  122  |  Discriminator   |      0.48373       |    0.82920     | 0.79800  | 0.11200 |  0.86341  | 0.70800 | 0.77753 |      0.50009       |     0.51069      |
|  123  |  Discriminator   |      0.40898       |    0.82920     | 0.83000  | 0.04400 |  0.94118  | 0.70400 | 0.80500 |      0.50743       |     0.51248      |
|  124  |  Discriminator   |      0.38951       |    0.82920     | 0.87000  | 0.02000 |  0.97436  | 0.76000 | 0.85344 |      0.50030       |     0.51437      |
|  125  |    Generator     |      0.38951       |    1.54293     | 0.81600  | 0.13600 |  0.84956  | 0.76800 | 0.80622 |      0.50013       |     0.50439      |
|  126  |    Generator     |      0.38951       |    0.80279     | 0.55600  | 0.61200 |  0.54192  | 0.72400 | 0.61937 |      0.48147       |     0.48743      |
|  127  |    Generator     |      0.38951       |    0.49671     | 0.45200  | 0.87200 |  0.47087  | 0.77600 | 0.58563 |      0.46203       |     0.48630      |
|  128  |  Discriminator   |      0.79072       |    0.49671     | 0.42000  | 0.89200 |  0.45074  | 0.73200 | 0.55746 |      0.45609       |     0.47762      |
|  129  |  Discriminator   |      0.71955       |    0.49671     | 0.49000  | 0.77200 |  0.49344  | 0.75200 | 0.59540 |      0.46759       |     0.48650      |
|  130  |  Discriminator   |      0.68075       |    0.49671     | 0.58400  | 0.61200 |  0.56034  | 0.78000 | 0.65169 |      0.46856       |     0.48396      |
|  131  |  Discriminator   |      0.59451       |    0.49671     | 0.70800  | 0.30800 |  0.70155  | 0.72400 | 0.71210 |      0.45860       |     0.48077      |
|  132  |  Discriminator   |      0.52158       |    0.49671     | 0.76800  | 0.12400 |  0.84184  | 0.66000 | 0.73942 |      0.46655       |     0.48154      |
|  133  |  Discriminator   |      0.47995       |    0.49671     | 0.79800  | 0.07600 |  0.89840  | 0.67200 | 0.76839 |      0.46523       |     0.49096      |
|  134  |  Discriminator   |      0.43764       |    0.49671     | 0.82200  | 0.04800 |  0.93514  | 0.69200 | 0.79491 |      0.46315       |     0.48341      |
|  135  |  Discriminator   |      0.39555       |    0.49671     | 0.88000  | 0.02800 |  0.96569  | 0.78800 | 0.86735 |      0.46546       |     0.48511      |
|  136  |    Generator     |      0.39555       |    1.43044     | 0.83400  | 0.06800 |  0.91542  | 0.73600 | 0.81547 |      0.46801       |     0.47966      |
|  137  |    Generator     |      0.39555       |    1.07905     | 0.71800  | 0.25600 |  0.72996  | 0.69200 | 0.70997 |      0.44164       |     0.48243      |
|  138  |    Generator     |      0.39555       |    0.81702     | 0.65000  | 0.45200 |  0.62458  | 0.75200 | 0.68190 |      0.47488       |     0.48897      |
|  139  |    Generator     |      0.39555       |    0.68105     | 0.51200  | 0.66800 |  0.50882  | 0.69200 | 0.58595 |      0.47329       |     0.49156      |
|  140  |    Generator     |      0.39555       |    0.58785     | 0.48200  | 0.77600 |  0.48813  | 0.74000 | 0.58776 |      0.47820       |     0.50220      |
|  141  |  Discriminator   |      0.69381       |    0.58785     | 0.48400  | 0.77600 |  0.48947  | 0.74400 | 0.59000 |      0.48378       |     0.49821      |
|  142  |  Discriminator   |      0.66858       |    0.58785     | 0.57600  | 0.66800 |  0.55108  | 0.82000 | 0.65868 |      0.47739       |     0.49642      |
|  143  |  Discriminator   |      0.62712       |    0.58785     | 0.65600  | 0.44400 |  0.63000  | 0.75600 | 0.68678 |      0.47936       |     0.49966      |
|  144  |  Discriminator   |      0.58733       |    0.58785     | 0.70800  | 0.30400 |  0.70312  | 0.72000 | 0.71096 |      0.47914       |     0.50326      |
